Country,gt10_ha,gt15_ha,gt20_ha,gt25_ha,gt30_ha,gt50_ha,gt75_ha
American Samoa,0,0,0,0,0,0,0
Antarctica,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0
Bouvet Island,0,0,0,0,0,0,0
British Indian Ocean Territory,0,0,0,0,0,0,0
Burkina Faso,3213895,314254,3734,1121,132,6,0
Christmas Island,0,0,0,0,0,0,0
Clipperton Island,0,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0,0
Cook Islands,0,0,0,0,0,0,0
Djibouti,13,2,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0
Heard Island and McDonald Islands,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0
Mauritania,65,42,36,36,33,16,0
Monaco,2,1,1,1,0,0,0
Nauru,0,0,0,0,0,0,0
Niger,24300,607,12,9,2,0,0
Niue,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0
Northern Mariana Islands,0,0,0,0,0,0,0
Oman,1226,186,13,2,0,0,0
Paracel Islands,0,0,0,0,0,0,0
Pitcairn Islands,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0
Saudi Arabia,32,14,7,7,7,7,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Spratly islands,0,0,0,0,0,0,0
Svalbard and Jan Mayen,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0
United Arab Emirates,1,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0
Yemen,6779,3115,420,258,126,10,0
"Gambia, The",453840,192781,30469,20792,4562,37,1
Sudan,4288705,1180823,324509,246794,72712,1171,1
Eritrea,1421,445,28,11,5,2,2
Greenland,303,272,254,250,228,99,2
Vatican City,9,7,7,6,5,3,2
Aruba,216,140,110,41,25,16,12
Botswana,2410472,562900,102705,54070,20328,1278,22
Lesotho,111555,62336,14390,11304,6052,522,24
French Southern Territories,90,88,80,76,72,60,28
Mali,8187013,1806917,151534,101105,25098,390,47
Malta,183,157,147,136,124,91,50
Namibia,1583839,247025,19646,12578,3835,571,52
Senegal,4785218,2403982,289083,173408,39568,2065,52
Chad,12841237,4827681,1200860,962424,409749,7270,54
Gibraltar,138,127,126,121,120,100,63
Palestina,1652,1257,1134,732,615,273,73
United States Minor Outlying Islands,165,158,154,151,146,122,100
Macao,504,465,454,431,413,341,113
Falkland Islands,3839,3648,2980,2779,2188,1066,137
Akrotiri and Dhekelia,1216,875,760,524,456,336,185
Libya,24333,15770,13900,7320,6833,1803,248
Bermuda,713,679,658,640,605,437,261
San Marino,1105,1054,1007,929,830,596,263
Seychelles,12615,10854,8053,7046,6210,2882,301
Saint-Barthélemy,787,724,688,658,622,484,308
Togo,4307897,2852456,907847,808158,558803,127368,454
Jordan,3838,3336,3187,2429,2271,1531,457
Guernsey,2117,1873,1766,1651,1508,1155,465
Curaçao,7536,6912,6320,5844,5261,1940,501
Anguilla,2895,2739,2571,2357,2126,1372,507
Egypt,952015,898311,452595,387158,154304,14628,624
Jersey,2094,1834,1754,1665,1550,1237,635
Sint Maarten,1139,1097,1069,1049,1022,913,716
Iraq,38464,29514,25194,20021,17504,6658,818
Benin,8884305,4564313,834667,605231,168568,9000,841
Somalia,3886022,1331603,174486,134816,87128,15648,1090
Saint Pierre and Miquelon,6066,5799,5688,5579,5454,4146,1145
"Bonaire, Sint Eustatius and Saba",3191,2996,2739,2597,2432,1759,1269
Saint-Martin,2049,1979,1936,1898,1850,1681,1389
Maldives,6101,6012,5896,5865,5824,4628,2066
Cabo Verde,10823,9410,8009,7867,7356,3744,2433
Turkmenistan,31528,19102,14626,12774,10177,5851,2509
Northern Cyprus,26021,21836,20025,15229,12307,7631,2871
Guinea-Bissau,2909283,2693559,1677845,1503920,1069848,314210,3469
Montserrat,4884,4780,4712,4654,4583,4290,3528
Barbados,6068,5760,5590,5433,5230,4619,3593
Isle of Man,16372,14587,14129,13759,13217,10279,4798
Micronesia,6460,6383,6347,6333,6172,6017,5613
British Virgin Islands,8485,8164,7963,7738,7464,6856,5853
Turks and Caicos Islands,15275,13599,12833,11728,10851,8653,5863
Liechtenstein,9961,9546,9421,9280,9077,8197,6214
Tajikistan,172579,116313,99251,70016,60257,19343,6245
Israel,49531,42385,39421,32882,29485,18035,7684
Cayman Islands,14729,14285,13929,13686,13458,12395,9995
Saint Kitts and Nevis,14379,13988,13755,13556,13260,12369,10740
Sao Tome and Principe,15407,15156,14527,14452,14214,13223,10744
Singapore,21828,20371,19965,19389,18784,16769,11503
Andorra,20720,19989,19750,19350,19004,16889,13314
Antigua and Barbuda,21229,20627,20238,19811,19323,17271,13990
Virgin Islands (U.S.),20387,19885,19622,19354,18998,17846,15810
Malawi,7092810,4922072,2460637,2216087,1521821,313125,16333
Mayotte,35376,35140,34222,33980,33577,30547,18865
Lebanon,94449,82553,77790,70888,65235,44020,19095
Cyprus,153579,132250,124799,103113,89658,53669,20061
Uzbekistan,256005,175829,155917,122797,106176,51378,20471
Burundi,2278905,1979505,921490,836033,537776,140710,21997
Saint Vincent and the Grenadines,30911,30067,29662,29371,29111,27793,23298
Grenada,29553,29189,28971,28770,28534,27654,24553
Hong Kong,68820,66554,65393,63968,62046,52269,28032
Mauritius,148741,136548,89079,83477,71305,50858,29250
Palau,42197,41860,41642,41527,41263,40143,37422
Caspian Sea,194058,182829,170509,162693,141764,92180,40302
Zambia,61144224,51039987,34095338,31614613,24087576,9196114,42894
Saint Lucia,52516,51886,51472,51133,50731,49236,45142
Syria,147267,132122,124773,114056,105940,82138,45522
Swaziland,1461242,1075603,648050,597254,469227,199650,60240
Åland,113781,110800,109886,108737,107727,87761,60880
Martinique,79062,77286,76256,75484,74650,70992,62862
Dominica,71866,71487,71257,71084,70925,70127,66999
Comoros,158383,156704,144653,140901,134784,105959,69013
Reunion,203273,199756,183764,180346,170475,131489,74206
Afghanistan,432115,302660,284357,254867,205791,148430,75486
Zimbabwe,18375342,8876163,2937862,2410471,1414326,293242,79971
Luxembourg,106223,104334,103505,102679,101326,96722,81751
Guadeloupe,100979,98528,97255,96126,94758,90175,81786
Rwanda,2052511,1577225,762369,706151,499796,205932,88763
Tunisia,286474,257228,249252,235265,223827,178455,107287
South Sudan,42723058,32580403,18660867,16943783,11379434,4105782,177343
Guinea,22567098,19376715,12426851,11347596,8159637,2155938,182015
"Bahamas, The",357636,339973,327747,314078,303575,256960,199495
Ghana,18330611,13282024,8230695,7919665,6955668,4253663,207294
Kyrgyzstan,1003712,840241,793153,727002,674974,430352,208394
Morocco,1113056,891662,822653,722979,648569,436049,210943
Moldova,442591,417393,400123,378198,356012,315736,211931
Armenia,384082,365441,357617,346599,336842,294622,224841
Kosovo,418803,397598,391018,384027,370224,334618,238730
Sierra Leone,7137726,7022355,6185242,6073503,5617878,3589287,242582
Netherlands,751844,681541,657430,623886,593052,473967,285065
Ireland,1105935,957520,905022,874878,841571,638979,289902
Mongolia,6150013,5086888,4757437,4465767,4090464,1863043,308043
Denmark,762417,718498,703291,689182,663204,561143,310526
Nigeria,42579111,26694185,13974174,12938578,10048732,4725125,315626
Pakistan,1629949,1291322,1222965,1074605,978656,666940,334858
Mozambique,70942086,59489289,39859115,37162148,28917947,10493860,341593
Albania,838912,776882,753090,706652,648680,534848,363824
Trinidad and Tobago,401487,398364,396148,394274,391844,383108,366322
Montenegro,691830,667036,655021,640140,616441,550242,419301
Timor-Leste,843884,818648,800013,763456,726088,616793,429716
Haiti,1073321,1010107,950111,907107,858466,657383,433473
Puerto Rico,561250,547088,538424,531711,523696,491959,438137
El Salvador,1127099,1092796,1052471,1024833,988823,801729,470781
Algeria,1690458,1472054,1419826,1316668,1223620,895575,496666
Brunei Darussalam,533981,532321,531387,530681,529339,523736,507844
Cote d'Ivoire,30924773,27248335,18910349,17992977,14872640,6357505,511083
Macedonia,911220,863643,842948,819488,781683,696105,536066
Belgium,972707,927599,913585,892226,865426,778289,576914
Jamaica,808490,794372,784791,777728,768440,729817,654499
Bangladesh,2683538,2304896,2216782,2097668,1959818,1541727,696707
New Caledonia,1597789,1570238,1501658,1481552,1440330,1051341,725321
Azerbaijan,1488960,1428540,1389912,1330925,1268610,1113391,819515
Uganda,18365553,15972163,10694679,9979870,7769701,3272797,849108
Uruguay,1875647,1832830,1776833,1744685,1697322,1387983,852003
Portugal,3006360,2755905,2601288,2462946,2302478,1589976,914494
North Korea,5870702,5607972,5501365,5374484,5196390,4093698,916446
Kenya,11005206,7584333,4292245,3975188,3319482,1891471,963685
Iran,1999539,1894537,1851258,1800732,1731671,1545483,999614
South Africa,22212926,13481072,7708860,7121247,5983115,3163002,1082119
Vanuatu,1186144,1185244,1183241,1182457,1181151,1161473,1098452
Slovenia,1341918,1323655,1316304,1308309,1293521,1247111,1116635
Switzerland,1650478,1602590,1586836,1569914,1544418,1445309,1134281
Tanzania,65243638,54840594,36452810,34056750,26406464,9700637,1231554
Fiji,1713017,1707001,1656992,1638131,1617795,1454215,1266131
Hungary,2221571,2151118,2112581,2063968,1990161,1797831,1427117
United Kingdom,4504219,4084210,3954604,3844721,3695718,2962429,1519680
Belize,1776901,1768312,1761508,1754439,1748275,1710653,1643082
Lithuania,2447493,2407704,2387829,2366691,2335002,2177670,1647305
Bhutan,2679172,2633400,2624343,2612860,2577235,2366473,1664055
South Korea,5777472,5648189,5578722,5496376,5367962,4518887,1669621
Kazakhstan,5904026,5141876,4837355,4552736,4240316,3155281,1759705
Dominican Republic,2863286,2771296,2696044,2642530,2576426,2236241,1774345
Croatia,2691396,2613401,2570372,2517745,2431307,2228569,1888964
Serbia,3026388,2943412,2901863,2839064,2730301,2504393,1918038
Estonia,2780314,2722507,2695261,2670726,2639428,2465465,1956967
Taiwan,2432187,2398949,2383194,2367164,2342176,2249935,2010532
Slovakia,2490391,2457153,2439301,2422570,2396814,2298099,2016710
Ethiopia,31135078,25291732,16513114,15478476,12040336,5425720,2039862
